ST,CTY,NAICS,RCPTOT,ESTAB,Total_RCPTOT,Total_ESTAB,Year
17,49,2372,1271,9,70955,441,2008
17,49,23721,1271,9,70955,441,2008
17,49,2373,0,0,10893,174,2008
17,49,23731,0,0,10893,174,2008
17,49,2379,203,6,25023,453,2008
17,49,23799,203,6,25023,453,2008
17,49,238,8271,210,2721723,64638,2008
17,49,2381,1248,37,410033,9180,2008
17,49,2382,936,18,488447,10856,2008
17,49,23821,354,9,207942,5156,2008
17,49,23822,168,6,243632,4899,2008
17,49,23829,0,0,23007,513,2008
17,49,2383,2573,84,1002502,27217,2008
17,49,2389,3514,71,814810,17245,2008
17,49,484,12093,128,2384304,27955,2008
17,49,4841,12023,123,2257333,26264,2008
17,49,48411,2310,27,658061,8879,2008
17,49,4842,0,0,118178,1580,2008
17,51,23,8427,201,5011777,98534,2008
17,51,236,2933,55,2153492,32338,2008
17,51,2361,2288,42,1992913,29421,2008
17,51,237,180,5,127943,1440,2008
17,51,2371,0,0,5381,103,2008
17,51,2373,0,0,10893,174,2008
17,51,23731,0,0,10893,174,2008
17,51,2379,178,3,25023,453,2008
17,51,23799,178,3,25023,453,2008
17,51,238,5314,141,2721723,64638,2008
17,51,2381,625,20,410033,9180,2008
17,51,2382,1614,19,488447,10856,2008
17,51,23821,0,0,207942,5156,2008
17,51,23822,966,6,243632,4899,2008
17,51,23829,0,0,23007,513,2008
17,51,2383,1042,46,1002502,27217,2008
17,51,2389,2033,56,814810,17245,2008
17,51,484,8236,90,2384304,27955,2008
17,51,4841,7979,83,2257333,26264,2008
17,51,48411,1945,25,658061,8879,2008
17,51,4842,257,7,118178,1580,2008
17,51,4853,0,0,406368,13552,2008
17,53,23,5871,132,5011777,98534,2008
17,53,236,1729,36,2153492,32338,2008
17,53,2361,1726,34,1992913,29421,2008
17,53,237,0,0,127943,1440,2008
17,53,2371,0,0,5381,103,2008
17,53,2372,0,0,70955,441,2008
17,53,23721,0,0,70955,441,2008
17,53,238,4040,94,2721723,64638,2008
17,53,2381,1041,18,410033,9180,2008
17,53,2382,911,16,488447,10856,2008
17,53,23821,643,8,207942,5156,2008
17,53,23822,199,6,243632,4899,2008
17,53,23829,0,0,23007,513,2008
17,53,2383,1409,42,1002502,27217,2008
17,53,2389,679,18,814810,17245,2008
17,53,484,4271,53,2384304,27955,2008
17,53,4841,4067,51,2257333,26264,2008
17,53,48411,1212,19,658061,8879,2008
17,53,4842,0,0,118178,1580,2008
17,55,23,17862,384,5011777,98534,2008
17,55,236,4620,99,2153492,32338,2008
17,55,2361,3926,88,1992913,29421,2008
17,55,237,1427,13,127943,1440,2008
17,55,2371,0,0,5381,103,2008
17,55,2372,0,0,70955,441,2008
17,55,23721,0,0,70955,441,2008
17,55,2379,1416,11,25023,453,2008
17,55,23799,1416,11,25023,453,2008
17,55,238,11815,272,2721723,64638,2008
