"ST","CTY","NAICS","Total_RCPTOT","Total_ESTAB","Year"
17,43,"23",5020463,96951,2004
17,43,"236",1868887,25572,2004
17,43,"2361",1708839,22752,2004
17,43,"237",137824,1222,2004
17,43,"2371",1572,48,2004
17,43,"2372",71492,375,2004
17,43,"23721",71492,375,2004
17,43,"2373",4117,89,2004
17,43,"23731",4117,89,2004
17,43,"2379",22994,294,2004
17,43,"23799",22994,294,2004
17,43,"238",2746549,64841,2004
17,43,"2381",482505,10300,2004
17,43,"2382",429541,9846,2004
17,43,"23821",160414,3993,2004
17,43,"23822",200613,4014,2004
17,43,"23829",13532,298,2004
17,43,"2383",1076148,27985,2004
17,43,"2389",756419,16569,2004
17,43,"484",1472722,18906,2004
17,43,"4841",1672228,21229,2004
17,43,"48411",548274,7839,2004
17,43,"4842",97526,1393,2004
17,43,"4853",294644,11060,2004
17,45,"23",5020463,96951,2004
17,45,"236",1868887,25572,2004
17,45,"2361",1708839,22752,2004
17,45,"237",137824,1222,2004
17,45,"2372",71492,375,2004
17,45,"23721",71492,375,2004
17,45,"2373",4117,89,2004
17,45,"23731",4117,89,2004
17,45,"2379",22994,294,2004
17,45,"23799",22994,294,2004
17,45,"238",2746549,64841,2004
17,45,"2381",482505,10300,2004
17,45,"2382",429541,9846,2004
17,45,"23821",160414,3993,2004
17,45,"23822",200613,4014,2004
17,45,"2383",1076148,27985,2004
17,45,"2389",756419,16569,2004
17,45,"484",1472722,18906,2004
17,45,"4841",1672228,21229,2004
17,45,"48411",548274,7839,2004
17,45,"4853",294644,11060,2004
17,47,"23",5020463,96951,2004
17,47,"236",1868887,25572,2004
17,47,"2361",1708839,22752,2004
17,47,"237",137824,1222,2004
17,47,"2373",4117,89,2004
17,47,"23731",4117,89,2004
17,47,"2379",22994,294,2004
17,47,"23799",22994,294,2004
17,47,"238",2746549,64841,2004
17,47,"2381",482505,10300,2004
17,47,"2382",429541,9846,2004
17,47,"23821",160414,3993,2004
17,47,"23822",200613,4014,2004
17,47,"23829",13532,298,2004
17,47,"2383",1076148,27985,2004
17,47,"2389",756419,16569,2004
17,47,"484",1472722,18906,2004
17,47,"4841",1672228,21229,2004
17,47,"48411",548274,7839,2004
17,49,"23",5020463,96951,2004
17,49,"236",1868887,25572,2004
17,49,"2361",1708839,22752,2004
17,49,"237",137824,1222,2004
17,49,"2371",1572,48,2004
17,49,"2372",71492,375,2004
17,49,"23721",71492,375,2004
17,49,"2373",4117,89,2004
17,49,"23731",4117,89,2004
17,49,"2379",22994,294,2004
17,49,"23799",22994,294,2004
17,49,"238",2746549,64841,2004
17,49,"2381",482505,10300,2004
17,49,"2382",429541,9846,2004
17,49,"23821",160414,3993,2004
17,49,"23822",200613,4014,2004
17,49,"23829",13532,298,2004
17,49,"2383",1076148,27985,2004
17,49,"2389",756419,16569,2004
17,49,"484",1472722,18906,2004
17,49,"4841",1672228,21229,2004
17,49,"48411",548274,7839,2004
17,49,"4842",97526,1393,2004
17,49,"4853",294644,11060,2004
17,51,"23",5020463,96951,2004
17,51,"236",1868887,25572,2004
17,51,"2361",1708839,22752,2004
17,51,"237",137824,1222,2004
17,51,"2371",1572,48,2004
17,51,"2373",4117,89,2004
17,51,"23731",4117,89,2004
17,51,"2379",22994,294,2004
17,51,"23799",22994,294,2004
17,51,"238",2746549,64841,2004
17,51,"2381",482505,10300,2004
17,51,"2382",429541,9846,2004
17,51,"23821",160414,3993,2004
17,51,"23822",200613,4014,2004
17,51,"23829",13532,298,2004
17,51,"2383",1076148,27985,2004
17,51,"2389",756419,16569,2004
17,51,"484",1472722,18906,2004
17,51,"4841",1672228,21229,2004
17,51,"48411",548274,7839,2004
17,51,"4842",97526,1393,2004
17,51,"4853",294644,11060,2004
17,53,"23",5020463,96951,2004
17,53,"236",1868887,25572,2004
17,53,"2361",1708839,22752,2004
17,53,"237",137824,1222,2004
17,53,"2371",1572,48,2004
17,53,"238",2746549,64841,2004
17,53,"2381",482505,10300,2004
17,53,"2382",429541,9846,2004
17,53,"23821",160414,3993,2004
17,53,"23822",200613,4014,2004
17,53,"2383",1076148,27985,2004
17,53,"2389",756419,16569,2004
17,53,"484",1472722,18906,2004
17,53,"4841",1672228,21229,2004
17,53,"48411",548274,7839,2004
17,53,"4842",97526,1393,2004
17,53,"4853",294644,11060,2004
17,55,"23",5020463,96951,2004
17,55,"236",1868887,25572,2004
17,55,"2361",1708839,22752,2004
17,55,"237",137824,1222,2004
17,55,"2372",71492,375,2004
17,55,"23721",71492,375,2004
17,55,"2373",4117,89,2004
17,55,"23731",4117,89,2004
17,55,"2379",22994,294,2004
17,55,"23799",22994,294,2004
17,55,"238",2746549,64841,2004
17,55,"2381",482505,10300,2004
17,55,"2382",429541,9846,2004
17,55,"23821",160414,3993,2004
17,55,"23822",200613,4014,2004
17,55,"2383",1076148,27985,2004
17,55,"2389",756419,16569,2004
17,55,"484",1472722,18906,2004
17,55,"4841",1672228,21229,2004
17,55,"48411",548274,7839,2004
17,55,"4842",97526,1393,2004
17,55,"4853",294644,11060,2004
17,57,"23",5020463,96951,2004
17,57,"236",1868887,25572,2004
17,57,"2361",1708839,22752,2004
17,57,"237",137824,1222,2004
17,57,"2371",1572,48,2004
17,57,"2372",71492,375,2004
17,57,"23721",71492,375,2004
17,57,"2373",4117,89,2004
17,57,"23731",4117,89,2004
17,57,"2379",22994,294,2004
17,57,"23799",22994,294,2004
17,57,"238",2746549,64841,2004
17,57,"2381",482505,10300,2004
17,57,"2382",429541,9846,2004
17,57,"23821",160414,3993,2004
17,57,"23822",200613,4014,2004
17,57,"23829",13532,298,2004
17,57,"2383",1076148,27985,2004
17,57,"2389",756419,16569,2004
17,57,"484",1472722,18906,2004
17,57,"4841",1672228,21229,2004
17,57,"48411",548274,7839,2004
17,57,"4842",97526,1393,2004
17,57,"4853",294644,11060,2004
17,59,"23",5020463,96951,2004
17,59,"236",1868887,25572,2004
17,59,"2361",1708839,22752,2004
17,59,"237",137824,1222,2004
17,59,"2373",4117,89,2004
17,59,"23731",4117,89,2004
17,59,"2379",22994,294,2004
17,59,"23799",22994,294,2004
17,59,"238",2746549,64841,2004
17,59,"2381",482505,10300,2004
17,59,"2382",429541,9846,2004
17,59,"23821",160414,3993,2004
17,59,"23822",200613,4014,2004
17,59,"2383",1076148,27985,2004
17,59,"2389",756419,16569,2004
17,59,"484",1472722,18906,2004
17,59,"4841",1672228,21229,2004
17,59,"48411",548274,7839,2004
17,59,"4842",97526,1393,2004
17,59,"4853",294644,11060,2004
17,61,"23",5020463,96951,2004
17,61,"236",1868887,25572,2004
17,61,"2361",1708839,22752,2004
17,61,"237",137824,1222,2004
17,61,"2379",22994,294,2004
17,61,"23799",22994,294,2004
17,61,"238",2746549,64841,2004
17,61,"2381",482505,10300,2004
17,61,"2382",429541,9846,2004
17,61,"23821",160414,3993,2004
17,61,"23822",200613,4014,2004
17,61,"23829",13532,298,2004
17,61,"2383",1076148,27985,2004
17,61,"2389",756419,16569,2004
17,61,"484",1472722,18906,2004
17,61,"4841",1672228,21229,2004
17,61,"48411",548274,7839,2004
17,61,"4842",97526,1393,2004
17,63,"23",5020463,96951,2004
17,63,"236",1868887,25572,2004
17,63,"2361",1708839,22752,2004
17,63,"237",137824,1222,2004
17,63,"2371",1572,48,2004
17,63,"2372",71492,375,2004
17,63,"23721",71492,375,2004
17,63,"2379",22994,294,2004
17,63,"23799",22994,294,2004
17,63,"238",2746549,64841,2004
17,63,"2381",482505,10300,2004
17,63,"2382",429541,9846,2004
17,63,"23821",160414,3993,2004
17,63,"23822",200613,4014,2004
17,63,"2383",1076148,27985,2004
17,63,"2389",756419,16569,2004
17,63,"484",1472722,18906,2004
17,63,"4841",1672228,21229,2004
17,63,"48411",548274,7839,2004
17,63,"4842",97526,1393,2004
17,63,"4853",294644,11060,2004
17,65,"23",5020463,96951,2004
17,65,"236",1868887,25572,2004
17,65,"2361",1708839,22752,2004
17,65,"237",137824,1222,2004
17,65,"2371",1572,48,2004
17,65,"2379",22994,294,2004
17,65,"23799",22994,294,2004
17,65,"238",2746549,64841,2004
17,65,"2381",482505,10300,2004
17,65,"2382",429541,9846,2004
17,65,"23821",160414,3993,2004
17,65,"23822",200613,4014,2004
17,65,"23829",13532,298,2004
17,65,"2383",1076148,27985,2004
17,65,"2389",756419,16569,2004
17,65,"484",1472722,18906,2004
17,65,"4841",1672228,21229,2004
17,65,"48411",548274,7839,2004
17,67,"23",5020463,96951,2004
17,67,"236",1868887,25572,2004
17,67,"2361",1708839,22752,2004
17,67,"237",137824,1222,2004
17,67,"2372",71492,375,2004
17,67,"23721",71492,375,2004
17,67,"2379",22994,294,2004
17,67,"23799",22994,294,2004
17,67,"238",2746549,64841,2004
17,67,"2381",482505,10300,2004
17,67,"2382",429541,9846,2004
