"ST","NAICS","Total_RCPTOT","Total_ESTAB","Year"
30,"23",703777,13125,2008
30,"236",290941,4241,2008
30,"2361",256796,3780,2008
30,"237",27170,304,2008
30,"2372",8752,50,2008
30,"23721",8752,50,2008
30,"2373",484,10,2008
30,"23731",484,10,2008
30,"2379",12605,168,2008
30,"23799",12605,168,2008
30,"238",379546,8495,2008
30,"2381",68320,1273,2008
30,"2382",40501,774,2008
30,"23821",15929,352,2008
30,"23822",18273,325,2008
30,"2383",125810,3219,2008
30,"2389",138045,2997,2008
30,"484",209145,1793,2008
30,"4841",192609,1596,2008
30,"48411",38129,467,2008
30,"4842",13458,155,2008
30,"23829",2829,43,2008
30,"4853",0,0,2008
30,"2371",514,7,2008
39,"23",4399647,93278,2008
39,"236",1355326,21598,2008
39,"2361",1187622,18592,2008
39,"237",131252,1685,2008
39,"2371",10167,214,2008
39,"2373",5378,111,2008
39,"23731",5378,111,2008
39,"2379",31939,516,2008
39,"23799",31939,516,2008
39,"238",2909784,69956,2008
39,"2381",602106,13018,2008
39,"2382",435993,9618,2008
39,"23821",144410,4207,2008
39,"23822",245263,4697,2008
39,"23829",27365,525,2008
39,"2383",977597,27136,2008
39,"2389",890065,20063,2008
39,"484",1968332,21724,2008
39,"4841",1814432,19596,2008
39,"48411",485610,6711,2008
39,"4842",151584,2096,2008
39,"4853",51602,2453,2008
39,"2372",67986,464,2008
39,"23721",67986,464,2008
42,"23",5691525,98371,2008
42,"236",1812576,22920,2008
42,"2361",1616206,20193,2008
42,"237",147817,1412,2008
42,"2371",5958,130,2008
42,"2372",84553,461,2008
42,"23721",84553,461,2008
42,"2373",4836,107,2008
42,"23731",4836,107,2008
42,"2379",35237,453,2008
42,"23799",35237,453,2008
42,"238",3728732,74006,2008
42,"2381",594696,10815,2008
42,"2382",682396,12378,2008
42,"23821",266709,5896,2008
42,"23822",372365,5769,2008
42,"23829",39187,638,2008
42,"2383",1256163,28474,2008
42,"2389",1193867,22289,2008
42,"484",1695173,15910,2008
42,"4841",1545213,14306,2008
42,"48411",488362,5472,2008
42,"4842",148212,1583,2008
42,"4853",149857,4439,2008
17,"23",4238204,94616,2009
17,"236",1819469,31612,2009
17,"2361",1650268,28569,2009
17,"237",105864,1320,2009
17,"2371",5287,98,2009
17,"2372",53106,379,2009
17,"23721",53106,379,2009
17,"2373",6086,151,2009
17,"23731",6086,151,2009
17,"2379",27432,462,2009
17,"23799",27432,462,2009
17,"238",2305470,61558,2009
17,"2381",362830,8921,2009
17,"2382",424008,10637,2009
17,"23821",163935,4963,2009
17,"23822",224835,4877,2009
17,"23829",21806,496,2009
17,"2383",824825,25331,2009
17,"2389",687421,16496,2009
17,"484",1942332,27566,2009
17,"4841",1844949,25977,2009
17,"48411",530728,8455,2009
17,"4842",89428,1492,2009
17,"4853",390149,13688,2009
30,"23",600487,12605,2009
30,"236",256895,4138,2009
30,"2361",235367,3698,2009
30,"237",27410,355,2009
30,"2372",12039,70,2009
30,"23721",12039,70,2009
30,"2373",435,14,2009
30,"23731",435,14,2009
30,"2379",7154,144,2009
30,"23799",7154,144,2009
30,"238",312297,8049,2009
30,"2381",51306,1185,2009
30,"2382",37309,739,2009
30,"23821",12636,262,2009
30,"23822",17078,319,2009
30,"2383",102427,3013,2009
30,"2389",115083,2926,2009
30,"484",156822,1730,2009
30,"4841",142057,1524,2009
30,"48411",33251,456,2009
30,"4842",10624,153,2009
30,"23829",690,16,2009
30,"4853",43,4,2009
30,"2371",1162,18,2009
39,"23",3982045,91630,2009
39,"236",1279562,21930,2009
39,"2361",1097807,18953,2009
39,"237",128507,1584,2009
39,"2371",7901,177,2009
39,"2373",2937,70,2009
39,"23731",2937,70,2009
39,"2379",19147,356,2009
39,"23799",19147,356,2009
39,"238",2571465,68062,2009
39,"2381",541694,12772,2009
39,"2382",383523,9526,2009
39,"23821",131150,4141,2009
39,"23822",222283,4684,2009
39,"23829",21923,470,2009
39,"2383",849542,26350,2009
39,"2389",795789,19378,2009
39,"484",1491686,20489,2009
39,"4841",1372561,18551,2009
39,"48411",379813,6160,2009
39,"4842",116291,1893,2009
39,"4853",49256,2414,2009
39,"2372",72846,443,2009
39,"23721",72846,443,2009
42,"23",4979148,95367,2009
42,"236",1612550,22649,2009
42,"2361",1418837,20071,2009
42,"237",146307,1407,2009
42,"2372",92251,488,2009
42,"23721",92251,488,2009
42,"2373",4911,99,2009
42,"23731",4911,99,2009
42,"2379",29680,450,2009
42,"23799",29680,450,2009
42,"238",3219330,71292,2009
42,"2381",502130,10300,2009
42,"2382",600396,12048,2009
42,"23821",229418,5712,2009
42,"23822",334391,5610,2009
42,"23829",32942,620,2009
42,"2383",1079867,27284,2009
42,"2389",1036823,21656,2009
42,"484",1304425,14881,2009
42,"4841",1190273,13393,2009
42,"48411",391170,5090,2009
42,"4842",110149,1436,2009
42,"4853",140048,4594,2009
42,"2371",3395,78,2009
17,"23",4197619,93982,2010
17,"236",1722839,31159,2010
17,"2361",1558252,28252,2010
17,"237",113235,1285,2010
17,"2372",56409,365,2010
17,"23721",56409,365,2010
17,"2373",7373,139,2010
17,"23731",7373,139,2010
